A7227,root,828
1049,1048,446
A70601,909,737
882,881,787
A222523,996,548
1050,1049,445
1178,1177,185
898,897,766
798,797,956
A272626,1024,493
1031,1030,486
A394221,1150,237
A224325,891,760
A269482,769,1009
A257309,1103,334
A3702,834,822
A85962,1256,21
1250,1241,36
722,718,1120
A295319,696,1178
634,635,
A317655,1148,243
1109,645,320
A189918,1085,380
A273119,926,668
695,680,1183
978,977,589
728,727,1107
1244,1243,51
A263820,917,718
742,666,1075
889,888,780
1233,1232,72
1162,1161,216
684,683,1209
A186497,908,736
A354242,1248,46
A226186,1169,200
861,839,841
A269484,963,618
982,975,578
A110662,1188,165
1214,1213,117
1190,1184,158
825,826,1256
917,913,722
A290633,1152,232
A177439,637,10
1171,1165,196
A115713,981,584
966,959,612
1123,1122,299
992,991,564
758,757,1040
A351746,751,1057
706,670,1151
1172,1171,195
A43179,851,867
A335541,1231,64
A439375,1121,293
1259,1258,14
834,835,
A431943,1208,95
A266835,1118,307
A269796,1144,252
A272621,1065,409
1216,1215,115
A338963,635,6
A349101,1131,280
A8090,862,834
A419665,906,743
A392021,957,634
1135,1134,274
1203,1201,131
A399739,743,1050
1068,985,405
A243232,906,744
1048,1026,447
1000,999,556
1061,1054,423
686,685,1207
A382245,724,1112
A85963,1257,22
943,820,658
A218491,674,1169
A69014,907,735
A401614,813,921
690,684,1197
999,998,557
A155864,689,1199
1168,1167,205
1180,1179,183
1185,1184,169
A4896,868,796
1130,1129,283
A60481,738,1091
A189518,1163,214
A335283,798,954
A163164,966,611
1153,1152,235
1022,1009,503
A272831,807,932
953,952,643
A292414,1128,287
1089,1088,373
A93060,1179,176
784,783,985
A272558,1006,534
A331112,688,1201
A243164,1107,322
A350058,1086,376
1084,1083,383
A273121,1250,28
762,761,1029
1144,1132,253
638,639,1255
734,733,1101
875,874,813
1197,1196,149
A315749,994,546
661,660,1232
906,902,745
A326297,731,1088
A216596,1119,309
678,677,1215
A251221,1196,146
A368408,881,700
A74547,1190,156
773,762,1007
1247,1246,48
A339860,901,756
A388919,1044,457
927,926,695
A281090,1070,331
A342109,760,1032
A210007,1048,441
1260,636,9
874,873,814
652,651,1241
A370554,1029,466
975,974,592
A205918,753,1053
1033,1032,484
A360109,1245,42
A197221,1192,140
796,795,958
1026,987,491
844,843,880
A338187,721,1121
A220341,697,1179
A316055,1140,265
A343509,706,1131
775,774,1003
919,912,717
A204773,785,979
746,745,1069
744,743,1071
A5085,877,800
888,887,781
633,634,1260
1011,1010,527
A339671,715,1134
A312309,722,1118
A190192,887,742
A160491,1038,472
A416276,953,633
1161,1154,217
700,699,1166
1019,1018,513
A158879,1015,519
A119857,810,915
A281310,712,1144
990,989,566
932,931,690
764,763,1027
A400668,742,1073
1242,1241,53
A206672,1106,328
1107,984,326
1208,1207,123
A272635,932,684
724,716,1114
1201,1200,135
666,665,1227
A386585,689,1198
860,840,844
A351160,893,768
1074,1073,399
A315750,1003,536
1195,1194,151
1063,1052,417
A273116,918,719
A8364,838,832
A416269,714,1133
A9365,848,874
A272843,707,1132
708,707,1149
A234826,965,614
A399549,921,713
A9258,860,842
710,709,1147
856,855,856
A198094,1001,554
A194439,1202,133
A362976,914,723
A170187,1046,448
A320372,767,1020
A262316,1094,359
A266779,1115,302
A264203,646,321
646,647,1249
756,755,1042
A198215,694,1186
A357808,1230,79
A184922,827,789
A384676,750,1056
A369723,1097,351
1220,1210,101
A178306,924,707
A349106,790,967
A9361,849,872
1149,1148,246
961,960,624
A283942,741,1078
A122587,806,931
1087,1076,375
810,809,925
1238,1236,59
660,659,1233
A32051,1189,160
A267608,763,1008
977,976,590
A318167,729,1082
A365044,780,992
A254945,964,620
806,805,935
A336407,956,639
A228410,798,955
A387093,1253,31
1229,1225,81
1001,1000,555
717,716,1129
815,649,912
A377628,704,1157
671,670,1222
1182,1180,179
A393595,661,1044
A331271,772,1013
A59919,1182,178
A262723,931,683
A9544,857,851
692,691,1195
A195102,1216,114
A199310,691,1192
663,662,1230
A286636,1037,470
854,842,858
969,968,607
1076,1075,397
1174,644,189
A103690,1197,148
766,765,1025
A226900,995,547
A242619,1166,197
A360107,1242,37
658,657,1235
A292459,1224,76
877,870,804
659,658,1234
A412965,972,599
A374930,712,1143
A368407,895,770
1141,1136,263
1128,1127,289
682,681,1211
984,647,572
1155,1154,230
A340047,939,671
946,943,652
A195099,1246,43
788,654,971
A283166,816,909
A370552,1031,476
A290399,1100,345
A351627,1206,93
A415426,883,702
A246200,1128,288
A4952,871,805
A441771,1219,104
A224911,1141,259
1112,1111,317
A402612,1171,190
