added Afghanistan/Other at 33.0,66.0 
added Argentina/Other at -34.0,-64.0 
added Australia/Other at -25.0,135.0 
added Austria/Other at 47.33333,13.33333 
added Azerbaijan/Other at 40.5,47.5 
added Bahrain/Other at 26.0,50.5 
added Bangladesh/Other at 24.0,90.0 
added Belarus/Other at 53.0,28.0 
added Belgium/Other at 50.83333,4.0 
added Benin/Other at 9.5,2.25 
added Bolivia/Other at -17.0,-65.0 
added Bosnia and Herzegovina/Other at 44.25,17.83333 
added Brazil/Other at -15.77972,-47.92972 
added Bulgaria/Other at 43.0,25.0 
added Burkina Faso/Other at 13.0,-2.0 
added Cambodia/Other at 13.0,105.0 
added Cameroon/Other at 6.0,12.0 
added Canada/Other at 60.0,-96.0 
added Chile/Other at -30.0,-71.0 
added China/Other at 35.0,105.0 
added Colombia/Other at 4.0,-72.0 
added Croatia/Other at 45.16667,15.5 
added Cuba/Other at 22.0,-79.5 
added Czech Republic/Other at 49.75,15.0 
added Denmark/Other at 56.0,10.0 
added Djibouti/Other at 11.5,42.5 
added Dominican Republic/Other at 19.0,-70.66667 
added Ecuador/Other at -2.0,-77.5 
added Egypt/Other at 27.0,30.0 
added El Salvador/Other at 13.83333,-88.91667 
added Estonia/Other at 59.0,26.0 
added Ethiopia/Other at 8.0,38.0 
added Fiji/Other at -18.0,178.0 
added Finland/Other at 64.0,26.0 
added France/Other at 46.0,2.0 
added Germany/Other at 51.5,10.5 
added Ghana/Other at 8.0,-2.0 
added Greece/Other at 39.0,22.0 
added Guam/Other at 13.44444,144.73667 
added Guatemala/Other at 15.5,-90.25 
added Haiti/Other at 19.0,-72.41667 
added Honduras/Other at 15.0,-86.5 
added Hong Kong/Other at 22.28552,114.15769 
added Hungary/Other at 47.0,20.0 
added Iceland/Other at 65.0,-18.0 
added India/Other at 20.0,77.0 
added Indonesia/Other at -5.0,120.0 
added Iran/Other at 32.0,53.0 
added Iraq/Other at 33.0,44.0 
added Ireland/Other at 53.0,-8.0 
added Israel/Other at 31.5,34.75 
added Italy/Other at 42.83333,12.83333 
added Japan/Other at 35.68536,139.75309 
added Jordan/Other at 31.0,36.0 
added Kazakhstan/Other at 48.0,68.0 
added Kenya/Other at 1.0,38.0 
added Kuwait/Other at 29.5,47.75 
added Kyrgyzstan/Other at 41.0,75.0 
added Laos/Other at 18.0,105.0 
added Latvia/Other at 57.0,25.0 
added Lebanon/Other at 33.83333,35.83333 
added Lithuania/Other at 56.0,24.0 
added Luxembourg/Other at 49.75,6.16667 
added Macau/Other at 22.20056,113.54611 
added Madagascar/Other at -20.0,47.0 
added Malaysia/Other at 2.5,112.5 
added Mali/Other at 17.0,-4.0 
added Mauritius/Other at -20.3,57.58333 
added Mexico/Other at 23.0,-102.0 
added Mongolia/Other at 46.0,105.0 
added Montenegro/Other at 42.5,19.3 
added Montserrat/Other at 16.75,-62.2 
added Morocco/Other at 32.0,-5.0 
added Nepal/Other at 28.0,84.0 
added Netherlands/Other at 52.5,5.75 
added New Caledonia/Other at -21.5,165.5 
added New Zealand/Other at -42.0,174.0 
added Nicaragua/Other at 13.0,-85.0 
added Niger/Other at 16.0,8.0 
added Nigeria/Other at 10.0,8.0 
added Northern Mariana Islands/Other at 16.0,146.0 
added Norway/Other at 62.0,10.0 
added Pakistan/Other at 30.0,70.0 
added Panama/Other at 9.0,-80.0 
added Papua New Guinea/Other at -6.0,147.0 
added Paraguay/Other at -22.99333,-57.99639 
added Peru/Other at -10.0,-76.0 
added Philippines/Other at 13.0,122.0 
added Poland/Other at 52.0,20.0 
