"EPI_ISL_25674","PB2: EPI167839 / PB1: EPI167840 / PA: EPI167841 / HA: EPI167842 / NP: EPI167843 / NA: EPI167844 / MP: EPI167845 / NS: EPI167846","A/peregrine falcon/Hong Kong/5211/2006","A / H5N1",,,"Asia / Hong Kong (SAR)","Falco peregrinus","Unknown user","Public Domain Database Import",,,,"5211","2006",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_25653","PB2: EPI167719 / PB1: EPI167720 / PA: EPI167721 / HA: EPI167722 / NP: EPI167723 / NA: EPI167724 / MP: EPI167725 / NS: EPI167726","A/goose/Laos/NCVD-39/2007","A / H5N1",,,"Asia / Lao, People's Democratic Republic","Goose","Unknown user","Public Domain Database Import",,,,"NCVD-39","2007",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_24623","PB2: EPI164378 / PB1: EPI164379 / PA: EPI164380 / HA: EPI164381 / NP: EPI164382 / NA: EPI164383 / MP: EPI164384 / NS: EPI164385","A/goose/Yunnan/6384/2006","A / H5N1",,,"Asia / China / Yunnan Province","Goose","Unknown user","Public Domain Database Import",,,,"6384","2006",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_24617","PB2: EPI164330 / PB1: EPI164331 / PA: EPI164332 / HA: EPI164333 / NP: EPI164334 / NA: EPI164335 / MP: EPI164336 / NS: EPI164337","A/goose/Yunnan/5141/2006","A / H5N1",,,"Asia / China / Yunnan Province","Goose","Unknown user","Public Domain Database Import",,,,"5141","2006",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_13617","PB2: EPI144945 / PB1: EPI144944 / PA: EPI144946 / HA: EPI125689 / NP: EPI144949 / NA: EPI144947 / MP: EPI144943 / NS: EPI144948","A/domestic goose/Pavlodar/1/2005","A / H5N1",,,"Asia / Kazakhstan / Pavlodar","Goose","Unknown user","Public Domain Database Import",,,,"1","2005",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_11883","PB2: EPI236725 / PB1: EPI236724 / PA: EPI236723 / HA: EPI236718, EPI116499 / NP: EPI236721 / NA: EPI236720 / MP: EPI236719 / NS: EPI236722","A/goose/Viet Nam/324/2001","A / H5N1",,,"Asia / Vietnam","Goose","Unknown user","Public Domain Database Import",,"Kim,L.M.; Scott,M.A.; Suarez,D.L.; Spackman,E.; Swayne,D.E.; Afonso,C.L.",,"324","2001",,"2010-01-26",,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_11881","PB2: EPI236717 / PB1: EPI236716 / PA: EPI236715 / HA: EPI236710, EPI116497 / NP: EPI236713 / NA: EPI236712, EPI116662 / MP: EPI236711, EPI116484 / NS: EPI236714","A/goose/Viet Nam/113/2001","A / H5N1",,,"Asia / Vietnam","Goose","Unknown user","Public Domain Database Import",,"Kim,L.M.; Scott,M.A.; Suarez,D.L.; Spackman,E.; Swayne,D.E.; Afonso,C.L.",,"113","2001",,"2010-01-26",,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_10767","PB2: EPI107639 / PB1: EPI111420 / PA: EPI113232 / HA: EPI107795 / NP: EPI112477 / NA: EPI112175 / MP: EPI111839 / NS: EPI112896","A/goose/Guiyang/3422/2005","A / H5N1",,,"Asia / China","Goose","Unknown user","Public Domain Database Import",,,,"3422","2005",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_10704","PB2: EPI107513 / PB1: EPI111294 / PA: EPI113106 / HA: EPI107835 / NP: EPI112351 / NA: EPI112049 / MP: EPI111650 / NS: EPI112707","A/goose/Shantou/18442/2005","A / H5N1",,,"Asia / China","Goose","Unknown user","Public Domain Database Import",,,,"18442","2005",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_10693","PB2: EPI107491 / PB1: EPI111272 / PA: EPI113084 / HA: EPI107775 / NP: EPI112329 / NA: EPI112027 / MP: EPI111617 / NS: EPI112674","A/goose/Guangxi/582/2006","A / H5N1",,,"Asia / China / Guangxi Zhuang Autonomous Region","Goose","Unknown user","Public Domain Database Import",,,,"582","2006",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
